,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer,Grundstücksfläche,Kategorie,Etagen,Baujahr,Effizienzklasse,Energieträger,Heizungsart,Stand
18,28qa458,berlin,50,max. 15 km,449.000 €,['104 m²'],['5 Zi.'],['266 m²'],['Reihenmittelhaus'],n.a,['1928'],['H'],['Gas'],['Zentralheizung'],2022-12-28
19,27b4y5h,berlin,50,max. 15 km,595.000 €,['120 m²'],['4 Zi.'],['433 m²'],['Einfamilienhaus'],n.a,['1995'],['F'],['Gas'],['Zentralheizung'],2022-12-28
20,27fz95t,berlin,50,max. 15 km,298.000 €,['70 m²'],['3 Zi.'],['145 m²'],['Reihenmittelhaus'],n.a,['1935'],n.a,['Elektro'],n.a,2022-12-28
21,28uck58,berlin,50,max. 15 km,654.000 €,['125.5 m²'],['5 Zi.'],['500 m²'],['Einfamilienhaus'],n.a,['1996'],['D'],['Öl'],['Zentralheizung'],2022-12-28
22,27w3b5u,berlin,50,max. 20 km,485.000 €,['104.12 m²'],['4 Zi.'],"['157,78 m²']",['Reihenendhaus'],n.a,['2019'],['B'],['Gas'],['Fußbodenheizung'],2022-12-28
23,278fh5k,berlin,50,max. 20 km,2.499.999 €,['619 m²'],['24 Zi.'],['950 m²'],['Mehrfamilienhaus'],['3 Geschosse'],['1980'],['G'],['Öl'],n.a,2022-12-28
24,27v535b,berlin,50,max. 20 km,5.749.000 €,['1016 m²'],['17 Zi.'],['7.418 m²'],['Villa'],n.a,['1914'],['E'],['Fernwärme'],"['offener Kamin, Zentralheizung']",2022-12-28
25,27zly57,berlin,50,max. 30 km,499.000 €,['109 m²'],['4 Zi.'],['405 m²'],['Einfamilienhaus'],n.a,['1995'],['D'],['Gas'],"['Fußbodenheizung, Zentralheizung']",2022-12-28
26,275g75s,berlin,50,max. 30 km,369.000 €,['166.22 m²'],['4 Zi.'],['936 m²'],['Einfamilienhaus'],n.a,['1975'],['E'],['Öl'],['Zentralheizung'],2022-12-28
27,27ygr5d,berlin,50,max. 30 km,675.000 €,['125.31 m²'],['4 Zi.'],['500 m²'],['Einfamilienhaus'],n.a,['1997'],['D'],['Gas'],"['Fußbodenheizung, offener Kamin, Zentralheizung']",2022-12-28
28,27tgt53,berlin,50,max. 30 km,799.000 €,['189 m²'],['6 Zi.'],['472 m²'],['Doppelhaushälfte'],['3 Geschosse'],['2022'],['A+'],n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe, Zentralheizung']",2022-12-28
29,26bas5q,berlin,50,max. 30 km,598.000 €,['135.78 m²'],['5 Zi.'],['783 m²'],['Einfamilienhaus'],n.a,['1938'],['E'],['Gas'],['Zentralheizung'],2022-12-28
30,258m75z,berlin,50,max. 30 km,298.000 €,['70 m²'],['3 Zi.'],['401 m²'],['Doppelhaushälfte'],n.a,['1936'],['G'],['Elektro'],['offener Kamin'],2022-12-28
31,27je65f,berlin,50,max. 30 km,339.000 €,['140 m²'],['6 Zi.'],['1.299 m²'],['Einfamilienhaus'],n.a,['1920'],['H'],['Öl'],n.a,2022-12-28
32,27sl65n,berlin,50,max. 30 km,598.000 €,['305 m²'],['10 Zi.'],['567 m²'],['Mehrfamilienhaus'],n.a,['1995'],n.a,['Gas'],['Zentralheizung'],2022-12-28
33,255kf5z,berlin,50,max. 30 km,1.350.000 €,['545 m²'],['25 Zi.'],['3.214 m²'],['Einfamilienhaus'],n.a,['2002'],['C'],['Gas'],['Zentralheizung'],2022-12-28
34,25w4n5u,berlin,50,max. 30 km,1.099.000 €,['260 m²'],['10 Zi.'],['900 m²'],['Villa'],['2 Geschosse'],['1912'],['F'],['Gas'],['Zentralheizung'],2022-12-28
35,28e2d5d,berlin,50,max. 30 km,3.500.000 €,['844 m²'],['48 Zi.'],['427 m²'],['Mehrfamilienhaus'],n.a,['1756'],n.a,['Gas'],n.a,2022-12-28
36,27snp5e,berlin,50,max. 30 km,620.749 €,['124.85 m²'],['6 Zi.'],"['351,90 m²']",n.a,['2 Geschosse'],n.a,n.a,n.a,['Luft-/Wasser-Wärmepumpe'],2022-12-28
37,27zpl59,berlin,50,max. 50 km,950.000 €,['287 m²'],['6 Zi.'],['1.145 m²'],['Villa'],n.a,['1990'],['D'],['Gas'],"['offener Kamin, Zentralheizung']",2022-12-28
38,27mem5u,berlin,50,max. 50 km,799.000 €,['169 m²'],['6 Zi.'],['1.047 m²'],['Einfamilienhaus'],n.a,['2019'],['D'],['Gas'],n.a,2022-12-28
39,28t2h56,berlin,50,max. 50 km,570.000 €,['117.5 m²'],['4 Zi.'],['706 m²'],['Bungalow'],n.a,['2016'],['C'],['Gas'],['Fußbodenheizung'],2022-12-28
40,27xwa5d,berlin,50,max. 50 km,355.555 €,['82.36 m²'],['5 Zi.'],['504 m²'],['Bungalow'],n.a,['1986'],['C'],['Öl'],['Zentralheizung'],2022-12-28
41,284ep58,berlin,50,max. 50 km,220.000 €,['81.51 m²'],['3 Zi.'],['583 m²'],['Einfamilienhaus'],n.a,['1936'],['H'],['Öl'],n.a,2022-12-28
42,26j9s5q,berlin,50,max. 50 km,275.000 €,['154 m²'],['7 Zi.'],['2.680 m²'],['Bauernhaus'],n.a,['1890'],['H'],['Gas'],['Zentralheizung'],2022-12-28
43,24qpr5n,berlin,50,max. 50 km,599.000 €,['268.35 m²'],['11 Zi.'],['1.981 m²'],['Mehrfamilienhaus'],n.a,['1921'],['D'],['Gas'],['Etagenheizung'],2022-12-28
44,27jzs54,berlin,50,max. 50 km,460.000 €,['134 m²'],['4 Zi.'],['530 m²'],n.a,['2 Geschosse'],['2018'],['B'],"['Gas, Solar']",['Fußbodenheizung'],2022-12-28
45,26z8259,berlin,50,max. 50 km,480.000 €,['115 m²'],['5 Zi.'],['1.000 m²'],['Einfamilienhaus'],['1 Geschoss'],['2001'],['E'],['Gas'],['Zentralheizung'],2022-12-28
46,27jah5w,berlin,50,max. 50 km,443.000 €,['90 m²'],['4 Zi.'],['654 m²'],['Einfamilienhaus'],n.a,['1990'],n.a,n.a,n.a,2022-12-28
47,26nbx5a,berlin,50,max. 5 km,44.444 €,['20 m²'],['2 Zi.'],['k.A.'],['Einfamilienhaus'],['1 Geschoss'],['2022'],n.a,['Elektro'],['Fußbodenheizung'],2022-12-28
48,27zc45x,berlin,50,max. 10 km,760.000 €,['144.67 m²'],['5 Zi.'],['132 m²'],['Reihenmittelhaus'],['3 Geschosse'],['2013'],['B'],n.a,['Zentralheizung'],2022-12-28
49,2783c58,berlin,50,max. 10 km,3.500.000 €,['295 m²'],['9 Zi.'],['1.128 m²'],['Villa'],n.a,['1900'],n.a,n.a,n.a,2022-12-28
50,289xe58,berlin,50,max. 10 km,auf Anfrage,['1490 m²'],[],['1.199 m²'],['Mehrfamilienhaus'],['4 Geschosse'],['1960'],['E'],['Öl'],['Zentralheizung'],2022-12-28
51,26rq55g,berlin,50,max. 10 km,870.000 €,['53 m²'],['2 Zi.'],['1.461 m²'],['Einfamilienhaus'],n.a,n.a,['H'],n.a,n.a,2022-12-28
52,28hzn53,berlin,50,max. 10 km,699.996 €,['176.42 m²'],['7 Zi.'],['601 m²'],['Einfamilienhaus'],n.a,['1987'],['D'],['Öl'],['Zentralheizung'],2022-12-28
53,27y4n5u,berlin,50,max. 10 km,649.000 €,['98 m²'],['4 Zi.'],['302 m²'],['Doppelhaushälfte'],['3 Geschosse'],['1970'],['E'],['Öl'],['Zentralheizung'],2022-12-28
54,28t7z57,berlin,50,max. 15 km,595.000 €,['96 m²'],['4 Zi.'],['573 m²'],['Doppelhaushälfte'],n.a,['1968'],['C'],['Gas'],['Zentralheizung'],2022-12-28
55,26qt55g,berlin,50,max. 15 km,835.000 €,['160 m²'],['7 Zi.'],['451 m²'],['Einfamilienhaus'],['2 Geschosse'],['1938'],['H'],['Gas'],['Zentralheizung'],2022-12-28
56,27w2q5p,berlin,50,max. 15 km,499.000 €,['105 m²'],['3 Zi.'],['356 m²'],['Doppelhaushälfte'],n.a,['1976'],['G'],['Öl'],['Zentralheizung'],2022-12-28
57,27nfc5t,berlin,50,max. 15 km,1.190.000 €,['146 m²'],['6 Zi.'],['328 m²'],['Reihenmittelhaus'],['3 Geschosse'],['1928'],['G'],['Gas'],['Zentralheizung'],2022-12-28
58,2887x5c,berlin,50,max. 15 km,679.000 €,['145.8 m²'],['5 Zi.'],"['382,70 m²']",['Einfamilienhaus'],['3 Geschosse'],['1977'],['F'],['Öl'],['Zentralheizung'],2022-12-28
59,28qcx57,berlin,50,max. 15 km,1.190.000 €,['143.29 m²'],['5 Zi.'],['781 m²'],['Villa'],n.a,['2006'],['A+'],['Erdwärme'],['Fußbodenheizung'],2022-12-28
60,285j45a,berlin,50,max. 15 km,735.000 €,['110 m²'],['5 Zi.'],['116 m²'],['Reihenmittelhaus'],n.a,n.a,n.a,n.a,n.a,2022-12-28
61,276bz57,berlin,50,max. 15 km,469.000 €,['65.84 m²'],['3 Zi.'],['681 m²'],['Einfamilienhaus'],n.a,['1930'],['G'],['Gas'],"['Etagenheizung, offener Kamin']",2022-12-28
62,27yxx5v,berlin,50,max. 15 km,400.400 €,['80 m²'],['3 Zi.'],['715 m²'],['Bungalow'],n.a,['1934'],n.a,['Gas'],['Zentralheizung'],2022-12-28
63,27uhu5a,berlin,50,max. 15 km,2.350.000 €,['340 m²'],['10 Zi.'],['946 m²'],['Villa'],n.a,['1922'],n.a,['Gas'],"['Fußbodenheizung, offener Kamin']",2022-12-28
64,27jne5m,berlin,50,max. 15 km,599.000 €,['85 m²'],['4 Zi.'],['568 m²'],['Einfamilienhaus'],n.a,['1962'],n.a,n.a,['Zentralheizung'],2022-12-28
65,28xcw5a,berlin,50,max. 15 km,425.000 €,['107 m²'],['4 Zi.'],['206 m²'],['Reihenendhaus'],n.a,['1995'],['D'],['Gas'],['Zentralheizung'],2022-12-28
66,28zrg55,berlin,50,max. 20 km,590.000 €,['143 m²'],['4 Zi.'],['545 m²'],['Einfamilienhaus'],n.a,['1998'],n.a,n.a,n.a,2022-12-28
67,26j335v,berlin,50,max. 20 km,799.000 €,['172.56 m²'],['5 Zi.'],['215 m²'],['Stadthaus'],['3 Geschosse'],['2023'],['A+'],['Elektro'],"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']",2022-12-28
68,26b2c5j,berlin,50,max. 20 km,790.000 €,['125 m²'],['5 Zi.'],['273 m²'],['Doppelhaushälfte'],['3 Geschosse'],['2022'],n.a,['Erdwärme'],['Fußbodenheizung'],2022-12-28
69,2797j5v,berlin,50,max. 20 km,399.000 €,['99 m²'],['3 Zi.'],"['374,50 m²']",['Mehrfamilienhaus'],n.a,['1935'],['A'],['Öl'],"['Fußbodenheizung, Zentralheizung']",2022-12-28
70,27zv55d,berlin,50,max. 20 km,1.100.000 €,['230 m²'],['6 Zi.'],['739 m²'],['Einfamilienhaus'],['3 Geschosse'],['1965'],['E'],['Öl'],"['Fußbodenheizung, Zentralheizung']",2022-12-28
71,27wbh55,berlin,50,max. 20 km,850.000 €,['175 m²'],['7 Zi.'],['1.003 m²'],['Mehrfamilienhaus'],n.a,['1955'],n.a,['Öl'],"['Fußbodenheizung, offener Kamin']",2022-12-28
72,28amq5b,berlin,50,max. 20 km,590.000 €,['110 m²'],['4.5 Zi.'],['870 m²'],['Einfamilienhaus'],['2 Geschosse'],['1955'],['H'],['Gas'],['Zentralheizung'],2022-12-28
73,277z75s,berlin,50,max. 20 km,749.000 €,['215.55 m²'],['5.5 Zi.'],['740 m²'],['Einfamilienhaus'],n.a,['1965'],['F'],['Gas'],['offener Kamin'],2022-12-28
74,26gkz57,berlin,50,max. 20 km,600.000 €,['141 m²'],['4.5 Zi.'],['620 m²'],['Einfamilienhaus'],['2 Geschosse'],['2012'],['C'],"['Gas, Solar']","['offener Kamin, Zentralheizung']",2022-12-28
75,27xbr5j,berlin,50,max. 20 km,550.000 €,['126 m²'],['4 Zi.'],['173 m²'],['Reihenmittelhaus'],n.a,['2014'],['B'],['Gas'],['Fußbodenheizung'],2022-12-28
76,2899452,berlin,50,max. 20 km,375.000 €,['65 m²'],['3 Zi.'],['850 m²'],n.a,n.a,['1944'],n.a,['Gas'],['Zentralheizung'],2022-12-28
77,25mw85k,berlin,50,max. 20 km,650.000 €,['157 m²'],['5 Zi.'],['1.082 m²'],['Mehrfamilienhaus'],['2 Geschosse'],['1898'],['H'],['Gas'],['Etagenheizung'],2022-12-28
78,27j9t52,berlin,50,max. 20 km,890.000 €,['164 m²'],['3 Zi.'],['1.446 m²'],['Einfamilienhaus'],n.a,['1996'],['C'],['Gas'],"['Fußbodenheizung, offener Kamin']",2022-12-28
79,2834t5b,berlin,50,max. 30 km,750.000 €,['130 m²'],['4 Zi.'],['410 m²'],['Doppelhaushälfte'],['2 Geschosse'],['2008'],n.a,['Gas'],['Zentralheizung'],2022-12-28
80,28zz753,berlin,50,max. 30 km,1.198.000 €,['163 m²'],['4 Zi.'],['1.152 m²'],['Einfamilienhaus'],n.a,['1993'],['D'],['Gas'],"['Fußbodenheizung, offener Kamin']",2022-12-28
81,27c8n56,berlin,50,max. 30 km,395.000 €,['71 m²'],['3 Zi.'],['1.150 m²'],['Einfamilienhaus'],n.a,['1975'],['G'],['Gas'],['Zentralheizung'],2022-12-28
82,27ewh5w,berlin,50,max. 30 km,585.000 €,['133 m²'],['4 Zi.'],['662 m²'],['Doppelhaushälfte'],['2 Geschosse'],['2023'],n.a,n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']",2022-12-28
83,28n3q5a,berlin,50,max. 30 km,1.280.000 €,['256.21 m²'],['11 Zi.'],['765 m²'],['Mehrfamilienhaus'],n.a,['1998'],['D'],['Gas'],"['Fußbodenheizung, Zentralheizung']",2022-12-28
84,279b75n,berlin,50,max. 30 km,850.000 €,['180 m²'],['6 Zi.'],['718 m²'],['Einfamilienhaus'],n.a,['2017'],['D'],['Gas'],"['Fußbodenheizung, offener Kamin']",2022-12-28
85,28xqn5b,berlin,50,max. 30 km,995.000 €,['164 m²'],['5 Zi.'],['438 m²'],['Doppelhaushälfte'],n.a,['2022'],['A+'],n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']",2022-12-28
86,27hrm59,berlin,50,max. 30 km,695.000 €,['115 m²'],['4 Zi.'],['730 m²'],['Doppelhaushälfte'],n.a,['2022'],['A'],n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']",2022-12-28
87,282zd5c,berlin,50,max. 30 km,1.250.000 €,['276 m²'],['9 Zi.'],['857 m²'],['Villa'],n.a,['1997'],n.a,"['Gas, Solar']","['Fußbodenheizung, offener Kamin, Zentralheizung']",2022-12-28
88,26qt75s,berlin,50,max. 30 km,850.000 €,['215 m²'],['6 Zi.'],['1.236 m²'],['Einfamilienhaus'],['2 Geschosse'],['2003'],n.a,['Gas'],"['Fußbodenheizung, Zentralheizung']",2022-12-28
89,27ytn5f,berlin,50,max. 30 km,610.000 €,['109.8 m²'],['5 Zi.'],['858 m²'],n.a,['2 Geschosse'],['1937'],n.a,['Öl'],['Zentralheizung'],2022-12-28
90,27ld25w,berlin,50,max. 30 km,630.000 €,['119.21 m²'],['4 Zi.'],['558 m²'],['Einfamilienhaus'],n.a,['2012'],n.a,['Gas'],['Zentralheizung'],2022-12-28
91,28bu75a,berlin,50,max. 30 km,400.000 €,['100 m²'],['3 Zi.'],['1.130 m²'],['Einfamilienhaus'],n.a,['1985'],['D'],['Öl'],['Zentralheizung'],2022-12-28
92,28pz456,berlin,50,max. 30 km,849.000 €,['200 m²'],['7 Zi.'],['820 m²'],['Einfamilienhaus'],n.a,['2008'],['B'],n.a,"['Fußbodenheizung, offener Kamin']",2022-12-28
93,263kh5h,berlin,50,max. 30 km,795.000 €,['104 m²'],['4 Zi.'],['1.129 m²'],['Einfamilienhaus'],n.a,['2000'],['D'],['Gas'],['Fußbodenheizung'],2022-12-28
94,28b3954,berlin,50,max. 30 km,849.000 €,['171 m²'],['3 Zi.'],['1.035 m²'],['Einfamilienhaus'],n.a,['1929'],['C'],['Gas'],['Zentralheizung'],2022-12-28
95,289p75c,berlin,50,max. 30 km,625.000 €,['130 m²'],['4 Zi.'],['1.240 m²'],['Einfamilienhaus'],['1 Geschoss'],['2005'],['A+'],['Elektro'],"['Ofen, Zentralheizung']",2022-12-28
96,27pev5h,berlin,50,max. 30 km,690.000 €,['100 m²'],['3 Zi.'],['1.239 m²'],['Einfamilienhaus'],n.a,['1976'],['C'],['Gas'],"['offener Kamin, Zentralheizung']",2022-12-28
97,28u2z55,berlin,50,max. 30 km,210.000 €,['97 m²'],['4 Zi.'],['899 m²'],['Doppelhaushälfte'],['1 Geschoss'],['1933/ 1968/1974'],n.a,['Gas'],['Zentralheizung'],2022-12-28
98,28xaa54,berlin,50,max. 30 km,379.000 €,['100 m²'],['3 Zi.'],['137 m²'],['Reihenmittelhaus'],n.a,['1994'],['E'],['Gas'],['Zentralheizung'],2022-12-28
99,27q6r5f,berlin,50,max. 30 km,320.000 €,['153 m²'],['5 Zi.'],['645 m²'],['Einfamilienhaus'],n.a,['1908'],['F'],['Gas'],['Zentralheizung'],2022-12-28
100,287wf59,berlin,50,max. 30 km,398.500 €,['121 m²'],['4 Zi.'],['186 m²'],['Reihenmittelhaus'],n.a,['1999'],['D'],['Gas'],"['offener Kamin, Zentralheizung']",2022-12-28
101,27emt5w,berlin,50,max. 30 km,799.000 €,['135 m²'],['6 Zi.'],['450 m²'],['Einfamilienhaus'],['2 Geschosse'],['1935'],n.a,"['Holz, Öl']","['Ofen, Zentralheizung']",2022-12-28
102,27j9q5u,berlin,50,max. 30 km,699.000 €,['188 m²'],['7 Zi.'],['1.157 m²'],['Einfamilienhaus'],n.a,['1994'],['C'],['Elektro'],"['Etagenheizung, offener Kamin']",2022-12-28
103,28sr853,berlin,50,max. 30 km,585.000 €,['110 m²'],['5 Zi.'],['250 m²'],['Doppelhaushälfte'],n.a,n.a,n.a,n.a,n.a,2022-12-28
104,27k9f53,berlin,50,max. 30 km,548.000 €,['183 m²'],['4 Zi.'],['574 m²'],['Einfamilienhaus'],n.a,['2004'],['C'],['Gas'],['Fußbodenheizung'],2022-12-28
105,27vtf5c,berlin,50,max. 30 km,202.000 €,['115 m²'],['4 Zi.'],['4.451 m²'],n.a,n.a,['1971'],n.a,['Gas'],['Zentralheizung'],2022-12-28
106,28u6r59,berlin,50,max. 30 km,795.000 €,['139 m²'],['7 Zi.'],['257 m²'],['Doppelhaushälfte'],['2 Geschosse'],['2022'],['A+'],['Elektro'],"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']",2022-12-28
107,287rv55,berlin,50,max. 30 km,639.000 €,['143 m²'],['4 Zi.'],['428 m²'],['Doppelhaushälfte'],['2 Geschosse'],['1996'],n.a,['Gas'],n.a,2022-12-28
108,28ht75c,berlin,50,max. 30 km,575.000 €,['125 m²'],['4 Zi.'],['886 m²'],['Einfamilienhaus'],n.a,['1980'],['C'],['Gas'],['Zentralheizung'],2022-12-28
109,284s757,berlin,50,max. 30 km,335.000 €,['69 m²'],['3 Zi.'],['780 m²'],['Einfamilienhaus'],n.a,['1924'],n.a,n.a,n.a,2022-12-28
110,27yf85p,berlin,50,max. 30 km,550.000 €,['208 m²'],['7 Zi.'],['659 m²'],['Villa'],['2 Geschosse'],['1911'],['G'],"['Elektro, Holz']",['Ofen'],2022-12-28
111,28l3353,berlin,50,max. 30 km,724.000 €,['155 m²'],['6 Zi.'],['349 m²'],['Einfamilienhaus'],n.a,['2022'],['A'],['Gas'],"['Fußbodenheizung, offener Kamin']",2022-12-28
112,28kpg59,berlin,50,max. 30 km,599.000 €,['187 m²'],['4 Zi.'],['1.273 m²'],['Einfamilienhaus'],n.a,['1996'],['D'],['Gas'],"['offener Kamin, Zentralheizung']",2022-12-28
113,28wga57,berlin,50,max. 50 km,394.000 €,['125 m²'],['4 Zi.'],['400 m²'],['Einfamilienhaus'],n.a,['2005'],n.a,['Gas'],['Zentralheizung'],2022-12-28
114,27gzb5b,berlin,50,max. 50 km,865.000 €,['216 m²'],['7 Zi.'],['623 m²'],['Einfamilienhaus'],n.a,n.a,n.a,['Gas'],['Fußbodenheizung'],2022-12-28
115,28gr953,berlin,50,max. 50 km,420.000 €,['149 m²'],['5 Zi.'],['984 m²'],['Einfamilienhaus'],n.a,['1883'],['D'],['Gas'],['Zentralheizung'],2022-12-28
116,2747u59,berlin,50,max. 50 km,288.000 €,['100 m²'],['3 Zi.'],['350 m²'],['Einfamilienhaus'],['1 Geschoss'],['2023'],n.a,n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']",2022-12-28
117,27mfb5f,berlin,50,max. 50 km,725.000 €,['141 m²'],['5 Zi.'],['728 m²'],['Einfamilienhaus'],['3 Geschosse'],['2004'],n.a,"['Elektro, Gas']",['Zentralheizung'],2022-12-28
118,26jjc57,berlin,50,max. 50 km,475.000 €,['450 m²'],['13 Zi.'],['724 m²'],['Herrenhaus'],['3 Geschosse'],['1898'],n.a,"['Elektro, Gas']",['Zentralheizung'],2022-12-28
119,279285n,berlin,50,max. 50 km,465.000 €,['116.9 m²'],['4 Zi.'],['1.037 m²'],['Einfamilienhaus'],n.a,['2002'],['C'],['Gas'],['Fußbodenheizung'],2022-12-28
120,28gn558,berlin,50,max. 50 km,219.999 €,['160.19 m²'],['8 Zi.'],"['425,19 m²']",['Reihenmittelhaus'],n.a,['1920'],n.a,['Pellets'],n.a,2022-12-28
121,27y9k5u,berlin,50,max. 50 km,475.000 €,['220 m²'],['7 Zi.'],['3.065 m²'],['Einfamilienhaus'],n.a,['1956'],['D'],['Öl'],"['offener Kamin, Zentralheizung']",2022-12-28
122,27yq85f,berlin,50,max. 50 km,435.000 €,['110 m²'],['4 Zi.'],['470 m²'],['Einfamilienhaus'],n.a,['1998'],n.a,['Gas'],['Zentralheizung'],2022-12-28
123,26wm85x,berlin,50,max. 50 km,699.000 €,['142 m²'],['5 Zi.'],['620 m²'],['Einfamilienhaus'],n.a,['2022'],['A'],['Gas'],['Fußbodenheizung'],2022-12-28
124,25m3c53,berlin,50,max. 50 km,auf Anfrage,['955 m²'],[],['2.577 m²'],['Mehrfamilienhaus'],['6 Geschosse'],['1905'],n.a,['Gas'],['Zentralheizung'],2022-12-28
125,2868h5a,berlin,50,max. 50 km,390.000 €,['120 m²'],['5 Zi.'],['760 m²'],['Einfamilienhaus'],['1 Geschoss'],['1974'],['G'],['Gas'],['Zentralheizung'],2022-12-28
126,27hre5h,berlin,50,max. 50 km,385.000 €,['125 m²'],['4 Zi.'],['401 m²'],['Doppelhaushälfte'],n.a,['1997'],['D'],['Gas'],['Zentralheizung'],2022-12-28
127,256db5a,berlin,50,max. 50 km,629.000 €,['160 m²'],['6 Zi.'],['1.331 m²'],['Einfamilienhaus'],['2 Geschosse'],['1988'],n.a,['Öl'],"['Fußbodenheizung, Zentralheizung']",2022-12-28
128,253pm5f,berlin,50,max. 50 km,419.000 €,['163 m²'],['6 Zi.'],['916 m²'],['Einfamilienhaus'],['3 Geschosse'],['1938'],['A'],"['Elektro, Gas']",n.a,2022-12-28
129,284ls5c,berlin,50,max. 50 km,610.000 €,['500 m²'],['20 Zi.'],['1.200 m²'],['Mehrfamilienhaus'],['3 Geschosse'],['1870'],['D'],['Öl'],['Zentralheizung'],2022-12-28
130,26emt56,berlin,50,max. 2 km,auf Anfrage,['2400 m²'],[],['k.A.'],['Mehrfamilienhaus'],['5 Geschosse'],['1908'],['C'],n.a,n.a,2022-12-28
131,25p6u5n,berlin,50,max. 5 km,7.250.000 €,['1148 m²'],[],['535 m²'],['Mehrfamilienhaus'],['5 Geschosse'],['ca 1900'],['C'],['Gas'],['Zentralheizung'],2022-12-28
132,255ub5y,berlin,50,max. 10 km,auf Anfrage,['3200 m²'],[],['2.000 m²'],['Mehrfamilienhaus'],['5 Geschosse'],n.a,n.a,n.a,['Zentralheizung'],2022-12-28
